"Now Shopping by","Huidige filters"
"Use as my default billing address","Gebruik als standaard factuuradres"
"This is your default shipping address.","Dit is uw standaard leveringsadres."
"Use as my default shipping address","Gebruik als standaard verzendadres"
"Go back",Terug
"Change Email","E-mailadres wijzigen"
"Change Password","Wachtwoord wijzigen"
"Change Email and Password","Wijzig E-Mail en wachtwoord"
"Current Password","Huidig wachtwoord"
"Password Strength",Wachtwoordsterkte
"No Password","Geen wachtwoord"
"Personal Information","Persoonlijke informatie"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"Sign-in Information",Inloggegevens
"Confirm Password","Bevestig wachtwoord"
"Create an Account","Account aanmaken"
"Customer Address",Klantadres
"Default Billing Address","Standaard factuuradres"
"Default Shipping Address","Standaard verzendadres"
"Comma separated. Forbidden file extensions: %1.","Komma gescheiden. Verboden bestandsextensies: %1."
"Please correct the value for file extensions.","Corrigeer de waarde voor het bestandsformaat."
"Deselect all","Alles deselecteren"
"%s of %s selected","%s van %s geselecteerd"
"B2B Features","B2B functies"
"This block no longer exists.","Dit blok bestaat niet langer meer"
"Enable Block","Blok inschakelen"
"Block Title",Bloktitel
"The block will be removed from the update and all scheduled changes will be lost.","Het blok zal worden verwijderd uit de update en alle geplande wijzigingen zullen verloren gaan."
"Remove CMS page from Update","Verwijder CMS pagina van Update"
"Enable Page","Pagina inschakelen"
"Page Title",Paginatitel
"Content Heading","Content Titel"
"Search Engine Optimisation","Zoekmachine-optimalisatie (SEO)"
"Page in Websites","Pagina in Websites"
"The page will be removed from the update and all scheduled changes will be lost.","De pagina zal worden verwijderd uit de update en alle geplande wijzigingen zullen verloren gaan."
"CMS Blocks","CMS Blokken"
"Remove CMS block from Campaign","Verwijder CMS blok van de Campagne"
"Deleting the update will remove the block from this campaign and all scheduled changes will be lost.","Verwijderen van deze update zal het blok uit de Campagne verwijderen en alle geplande wijzigingen zullen verloren gaan."
"Remove CMS page from Campaign","Verwijder CMS pagina van de Campagne"
"Remove CMS Page from Campaign","Verwijder CMS pagina van de Campagne"
"Remove CMS Block from Campaign","Verwijder CMS blok van de Campagne"
"Grouped Products","Gegroepeerde producten"
"Please specify the quantity of product(s).","Specificeer het aantal producten a.u.b."
"Cannot process the item.","Kan het item niet verwerken."
"Add Products to Group","Producten toevoegen aan groep"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Een gegroepeerd product is samengesteld uit meerdere, zelfstandige producten die worden gepresenteerd als een groep. U kunt bieden variaties van één product of groeperen door seizoen of thema om een gecoördineerde verzameling te maken. Elk product kan worden gekocht, afzonderlijk of als onderdeel van de groep."
"There are no grouped products.","Er zijn geen gegroepeerde producten."
"Default Qty",Standaard-aantal
"Starting at",Vanaf
"Grouped product items","Gegroepeerde productitems"
"Grouped Product Image","Afbeelding gegroepeerd product"
"Gift Card Accounts","Cadeaubon Accounts"
"Add Gift Card Account","Cadeaubon Account toevoegen"
"Save & Send Email","Opslaan & Stuur e-mail"
"Edit Gift Card Account: %1","Cadeaubon bewerken account: %1"
"New Gift Card Account","Nieuw cadeaubon account"
"Balance Change","Saldo Verandering"
Balance,Saldo
"Gift Card Code",Cadeaubon-code
Redeemable,Inwisselbaar
"Send Gift Card","Cadeaubon versturen"
"Send Email from the Following Store View","Stuur E-mail notificatie vanuit het volgende Winkelaanzicht"
"-- First Please Select a Website --","-- Selecteer eerst een website --"
"Gift Card Account","Cadeaubon account"
"This gift card account has been deleted.","Cadeaubon account is verwijderd."
"We couldn't find a gift card account to delete.","We kunnen geen cadeaubon account vinden om te verwijderen."
"Edit Gift Card Account","Bewerk cadeaubon account"
"New Account","Nieuw account"
"New code pool was generated.","Nieuwe groep van de code is gegenereerd."
"We were unable to generate a new code pool.","We waren niet in staat om de code te genereren voor een nieuwe groep."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","De gebruikte Code-Pool: <b>%1%</b> (gratis <b>%2</b> van <b>%3</b> totale). Genereren van een nieuwe groep met de code <a href=""%4""> hier</a>."
"Please select a gift card account(s)","Selecteer cadeaubon account(s)"
"You saved the gift card account.","U heeft de cadeaubon account opgeslagen."
"An email was not sent because the gift card account is not active.","Een email was niet verzonden omdat de cadeaubon account niet actief is."
"You saved the gift card account, but an email was not sent.","U heeft de cadeaubon account opgeslagen, maar de email werd niet verzonden."
"We will refund the gift card amount to your customer’s store credit","We zullen het bedrag van de cadeaubon van uw klant terugbetalen"
"Please enable Store Credit to refund the gift card amount to your customer","Activeer het bedrag voor de terugbetaling van het saldo van de cadeaubon aan uw klant"
"Please correct the gift card code.","Corrigeer de cadeaubon code."
"Gift Card ""%1"" was added.","Cadeaubon ""%1"" is toegevoegd."
"We cannot apply this gift card.","We kunnen deze cadeaubon niet toepassen."
"Gift Card ""%1"" was removed.","Cadeaubon ""%1"" werd verwijderd."
"You can't remove this gift card.","U kunt deze cadeaubon niet verwijderen."
"You can't redeem a gift card now.","Het is niet mogelijk uw cadeaubon nu te verzilveren."
"Gift Card ""%1"" was redeemed.","Cadeaubon ""%1"" is ingewisseld."
"We cannot redeem this gift card.","We kunnen uw cadeaubon niet inwisselen."
"Gift Card",Cadeaubon
"By admin: %1.","Door admin: %1."
"Could not save the gift card account.","Kan de cadeaubon account niet opslaan."
"Could not delete the gift card account.","Kan de cadeaubon account niet verwijderen."
"The expiration date must be set in the future.","De houdbaarheidsdatum moet in de toekomst liggen."
"The balance cannot be less than zero.","Het saldo kan niet klein zijn dan nul."
"This gift card account is already in the quote.","Deze cadeaubon is reeds toegepast op de quote."
"Please correct the gift card account code: ""%1"".","Corrigeer de cadeaubon rekening code: ""%1""."
"This gift card account wasn't found in the quote.","Deze cadeaubon rekening werd niet gevonden in de offerte."
"Please correct the gift card account ID. Requested code: ""%1""","Corrigeer het cadeaubon rekening ID. Aangevraagde code: ""%1"""
"Please correct the gift card account website: %1.","Corrigeer de cadeaubon rekening website: %1."
"Gift card account %1 is not enabled.","Rekening cadeaubon %1 is niet ingeschakeld."
"Gift card account %1 is expired.","Rekening cadeaubon %1 is verlopen."
"Gift card account %1 has a zero balance.","Rekening cadeaubon %1 heeft een nulsaldo."
"Gift card account %1 balance is lower than the charged amount.","Balans van de rekening cadeaubon %1 is lager dan het kostbedrag."
Available,Beschikbaar
Used,Gebruikt
Redeemed,Ingewisseld
"Please enter a valid customer ID.","Voer een geldig klant-id in."
"Gift Card Redeemed: %1. For customer #%2.","Cadeaubon ingewisseld: %1 voor klant #%2."
Sent,Verstuurd
"Order #%1.","Bestelling # %1."
"Recipient: %1.","Geadresseerde: %1."
"Customer #%1.","Klant #%1."
"Please assign a gift card account.","Wijs een cadeaubon rekening toe."
"Unknown history action.","Onbekende geschiedenis actie."
"We were unable to create full code pool size. Please check settings and try again.","U kunt de volledige grootte van de code zwembad niet maken. Controleer de instellingen en probeer het opnieuw."
"No codes left in the pool.","Geen code uitgebracht in het zwembad."
"Could not delete gift card from quote","Het verwijderen van de cadeaubon uit de quote is mislukt"
"Could not add gift card code","Er kon geen cadeaubon worden toegevoegd"
"Please correct the wrong or expired Gift Card Code.","Corrigeer de verkeerde of verlopen cadeaubon code."
Alphanumeric,Alfanumeriek
Alphabetical,Alfabetisch
Numeric,Numeriek
"The maximum generated code length is 255. Please correct your settings.","De maximale lengte van de gegenereerde code is 255. Corrigeer uw instellingen."
"Gift Cards",Cadeaubonnen
"Code Pool used: ","Code-Pool gebruikt: "
" (free "," (gratis "
" of "," van "
" total)."," totaal)."
"Are you sure you want to continue without saving your changes?","Weet u zeker dat u wilt doorgaan zonder de wijzigingen op te slaan?"
"Refund Gift Cards to Store Credit","Cadeaubon verzilveren als winkelkrediet"
"Add Gift Card","Cadeaubon toevoegen"
"Gift Card (%1)","Cadeaubon (%1)"
"Enter gift card code","Voer de code op uw cadeaubon in"
"Redeem Gift Card","Cadeaubon inwisselen"
"Check status and balance","Status en saldo controleren"
"Have a gift card? ","Heeft u een cadeaubon? "
"Click here","Klik hier"
" to redeem it.","om in te lossen."
"Check Gift Card status and balance","Controleer de status en het saldo van de cadeaubon"
"Gift Card: ","Cadeaubon: "
"Expires: ","Vervalt: "
"Please enter a valid gift card code.","Voer een geldige cadeauboncode in."
"Add or remove gift cards","Toevoegen of verwijderen van cadeaubonnen"
"Gift Card amount applied to order:","Cadeaubon bedrag toegepast op bestelling:"
"You've been sent a gift from %store_name","U heeft een cadeau ontvangen van %store_name"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Er werd een cadeaubon gestuurd om te gebruiken op %store_name en deze kan nu gebruikt worden voor aankopen."
"Gift Card Code: %code","Cadeaubon code: %code"
"The card has a balance of %balance and can be used at ","De bon heeft een saldo van %balance en kan worden gebruikt bij "
"Gift Card amount applied to order: ","Cadeaubon bedrag toegepast op bestelling: "
"Email Sent from Gift Card Account Management","Email verzonden vanuit beheer rekening cadeaubon"
"Gift Card Email Sender","Afzender Cadeaubon E-mail"
"Gift Card Template","Cadeaubon sjabloon"
"Gift Card Account General Settings","Rekening cadeaubon algemene opties"
"Code Length","Lengte code"
"Excluding prefix, suffix and separators.","Behalve voorvoegsel, achtervoegsel en tussenvoegsels."
"Code Format","Formaat code"
"Code Prefix","Code voorvoegsel"
"Code Suffix","Code achtervoegsel"
"Dash Every X Characters","Streepje elke x karakters"
"if empty no separation","laat leeg voor geen streepjes"
"New Pool Size","Nieuwe pool grootte"
"Low Code Pool Threshold","Low Code Pool drempel"
"IMPORTANT: Be sure to save your configuration before running generation process.","BELANGRIJK: Zorg dat uw configuratie oplaat voordat u het generatie proces draait."
"Are you sure you want to delete these gift card accounts?","Bent u zeker dat u deze cadeaubon accounts wil verwijderen?"
"Invalid Request","Ongeldige Aanvraag"
"Too many attempts, please try again later.","Te veel pogingen, probeer het later nogmaals."
"Amount can be returned to Store Credit.","Bedrag kan worden teruggestuurd naar Winkeltegoed."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""#"" data-post=""%4"">here</a>.","De gebruikte code-pool: <b>%1%</b> (gratis <b>%2</b> van <b>%3</b> totale). Genereer een nieuwe code-pool <a href=""#"" data-post=""%4"">hier</a>."
"The gift card couldn't be deleted from the quote.","De cadeaubon kan niet uit de offerte worden verwijderd."
"Requiring a composite gift card account.","Een samengesteld cadeaubon account is vereist."
"The gift card code couldn't be added. Verify your information and try again.","De cadeaubon-code kon niet worden toegevoegd. Controleer de opgegeven informatie en probeer opnieuw."
"The gift card code is either incorrect or expired. Verify and try again.","De cadeaubon-code is incorrect of verlopen. Controleer en probeer opnieuw."
"Gift Card %1 was removed.","Cadeaubon %1 werd verwijderd."
"Gift card not found","Cadeaubon niet gevonden"
"Gift card account is not redeemable.","Cadeaubon account is niet aflosbaar."
"Cannot find the customer to update balance","Kan de klant niet vinden om saldo bij te werken"
"The ""%1"" product is not part of the current creditmemo.","Het product ""%1"" is geen onderdeel van de huidige creditmemo."
"The return to stock argument contains product item that is not part of the original order.","De terugkeer naar voorraad argument bevat product-item dat geen deel uitmaakt van de oorspronkelijke order."
"Change Billing Address","Verander Factuuradres"
"Ship to Multiple Addresses","Verzenden naar meerdere adressen"
"Billing Information - %1","Factuuradres - %1"
"Review Order - %1","Controleer bestelling - %1"
"Total for this address","Totaal voor dit adres"
"Edit Address","Bewerk adres"
"Edit Billing Address","Factuuradres bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Data saving problem","Probleem bij het opslaan van gegevens"
"We cannot open the overview page.","We kunnen de overzichtspagina niet openen."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Order place error","Fout bij plaatsen van bestelling"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximaal aantal voor verzenden naar verschillende adressen is %1"
"Please check shipping address information.","Controleer het verzendadres."
"Please check billing address information.","Controleer de gegevens van het factuuradres."
"Please select shipping methods for all addresses.","Selecteer verzendmethodes voor alle adressen."
"A payment method is not defined.","Betaalmethode is niet gedefinieerd."
"The requested payment method is not available for multishipping.","De gevraagde betaalwijze is niet beschikbaar voor verzending naar verschillende adressen."
"Item not found or already ordered","Artikel niet gevonden of reeds besteld"
"Please check shipping addresses information.","Controleer de verzendadressen."
"Please specify shipping methods for all addresses.","Geef verzendmethoden op voor alle adressen."
"Quote address for failed order not found.","Winkelwagen adres voor mislukte bestelling niet gevonden."
"Exception for failed order not found.","Exception voor mislukte order niet gevonden."
"Select Addresses","Adres selecteren"
"Billing Information",Factuurinformatie
"Order Success","Bestelling succes"
"Order Results","Bestelling resultaten"
"Default Billing","Standaard Factuuradres"
"Default Shipping","Standaard verzendadres"
"Select Address","Kies een adres"
"Back to Billing Information","Terug naar factuurinformatie"
"Please select a shipping address for applicable items.","Selecteer een verzendadres voor de geselecteerde producten."
"Send To","Verzenden naar"
"A shipping selection is not applicable.","Verzendselectie is niet van toepassing."
"Go to Shipping Information","Ga naar verzendgegevens"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Enter a New Address","Voer een nieuw adres in"
"Back to Shopping Cart","Terug naar winkelwagen"
"Go to Review Your Order","Ga naar Valideer uw bestelling"
"Back to Shipping Information","Terug naar verzendinformatie"
"Other items in your order","Andere items in uw bestelling"
"Edit Items","Artikelen bewerken"
"Shipping is not applicable.","Verzending is niet van toepassing."
"Check Out with Multiple Addresses","Afrekenen met meerdere adressen"
"Please see",Bekijk
"details below","details hieronder"
"Shipping To","Verenden naar"
"Order Review","Controleer uw bestelling"
"Grand Total:",Eindtotaal:
"Submitting order information...","Informatie van de bestelling wordt opgeslagen..."
"Not all items were included.","Niet alle artikelen waren inbegrepen."
"For details, see","Voor details, zie"
"Failed to Order","Mislukt te bestellen"
"section below","sectie hieronder"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","Voor succesvol bestelde items ontvangt u een bevestigingsmail met ordernummers, tracking informatie en meer details."
"Successfully Ordered","Succesvol besteld"
"No shipping required.","Geen zending vereist."
"To purchase these items: Return to the","Om deze items te kopen: Ga terug naar de"
"Review page in Checkout","Controlepagina in afrekenproces"
"resolve any errors, and place a new order.","los eventuele fouten op en plaats een nieuwe bestelling."
"Address %1 <span>of %2</span>","Adres %1 <span>van %2</span>"
"Sorry, no quotes are available for this order right now.","Geen quotes gevonden voor deze bestelling."
"Continue to Billing Information","Ga verder naar factuurinformatie"
"Back to Select Addresses","Terug naar adressen selecteren"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","Voor succesvol bestelde items ontvangt u een bevestigingsmail met ordernummers, tracking informatie en meer details."
"Successfully ordered","Succesvol besteld"
"We can't complete your order because you don't have a payment method set up.","We kunnen uw bestelling niet voltooien omdat u geen bestalingsmethode heeft ingesteld."
"Multishipping Settings Section","Multishipping instellingen sectie"
"Multishipping Settings","Multishipping instellingen"
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Review Order","Controleer bestelling"
"We could only complete part of your order.","We konden slechts een deel van uw bestelling voltooien."
"We were unable to complete your order.","We waren niet in staat om uw bestelling te voltooien."
"Select Shipping Method","Kies een verzendmethode"
"Thanks for your order. We'll email you order details and tracking information.","Bedankt voor uw bestelling. We emailen het detail van uw bestelling en tracking informatie."
"Your order numbers are: ","Uw bestelnummers zijn:"
"Your order number is: ","Uw bestelnummer is:"
"We are unable to process your request. Please, try again later.","We zijn niet in staat om uw aanvraag te verwerken. Gelieve opnieuw te proberen."
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","Het maximale aantal kan niet meer dan %1 zijn als er naar meerdere adressen wordt verzonden. Verander het aantal en probeer het nogmaals."
"Verify the shipping address information and continue.","Controleer het verzendadres en ga verder."
"Verify the billing address information and continue.","Controleer het factuuradres en ga verder."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Stel de verzendmethode voor alle adressen in. Controleer de verzendmethoden en probeer het nogmaals."
"A payment method isn't defined. Verify and try again.","Een betaalmethode is niet ingesteld. Controleer en probeer het nogmaals."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","Deze betaalmethode kan niet worden gebruikt om naar meerdere adressen te verzenden. Pas de betaalmethode aan en probeer het nogmaals."
"The item isn't found, or it's already ordered.","Het item kan niet worden gevonden of het is al besteld."
"Sales Rule",Verkoopregel
"Index sales rule","Indexeer verkoopregel"
"Static Blocks","Statische blokken"
"Add New Block","Nieuw blok toevoegen"
"Delete Block","Blok verwijderen"
"Save Block","Blok opslaan"
"Add New Page","Nieuwe pagina toevoegen"
"Delete Page","Pagina verwijderen"
"Save Page","Pagina opslaan"
Modified,Gewijzigd
"Media Storage","Media opslag"
"Create Folder...","Maak map...."
"Delete Folder","Map verwijderen"
"Insert File","Bestand invoegen"
"New Folder Name:","Nieuwe mapnaam"
"Are you sure you want to delete this folder?","Weet u zeker dat u deze map wilt verwijderen?"
"Are you sure you want to delete this file?","Weet u zeker dat u dit bestand wilt verwijderen?"
"Images (%1)","Afbeeldingen (%1)"
"Storage Root","Opslag root"
"You deleted the block.","Het blok is verwijderd."
"We can't find a block to delete.","Blok om te verwijderen niet gevonden."
"Edit Block","Blok bewerken"
"New Block","Nieuw blok"
Blocks,Blokken
"You saved the block.","Het blok is opgeslagen."
"Something went wrong while saving the block.","Er ging iets mis bij het opslaan van het blok."
"The page has been deleted.","De pagina is verwijderd"
"We can't find a page to delete.","Pagina om te verwijderen niet gevonden."
"This page no longer exists.","Deze pagina bestaat niet langer meer"
"Something went wrong while saving the page.","Er ging iets mis bij het opslaan van de pagina."
"A total of %1 record(s) have been disabled.","Een totaal van %1 document(en) zijn uitgeschakeld."
"A total of %1 record(s) have been enabled.","In totaal van %1 records(s) zijn ingeschakeld."
"To apply changes you should fill in hidden required ""%1"" field","Om de wijzigingen toe te passen dient u het verborgen benodigde veld ""%1"" in te vullen"
"You saved the page.","Pagina opgeslagen."
"Directory %1 is not under storage root path.","Map %1 is niet opgeslagen onder het hoofdpad"
"The directory %1 is not writable by server.","De map %1 is niet beschrijfbaar door de server."
"Make sure that static block content does not reference the block itself.","Zorg ervoor dat de inhoud van een statisch blok niet naar zichzelf verwijst."
"CMS Block with id ""%1"" does not exist.","CMS blok met id ""%1"" bestaat niet."
"Disabled Completely","Volledig uitgeschakeld"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS geen Route pagina"" in configuratie."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Home Pagina"" in configuratie."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Geen Cookies Pagina"" in configuratie."
"Could not save the page: %1","Kon pagina niet opslaan: %1"
"CMS Page with id ""%1"" does not exist.","CMS pagina met id ""%1"" bestaat niet."
"Could not delete the page: %1","Kon pagina niet verwijderen: %1"
"A block identifier with the same properties already exists in the selected store.","Een block identifier met dezelfde eigenschappen bestaat reeds."
"The page URL key contains capital letters or disallowed symbols.","De URL-key van de pagina heeft hoofdletters of niet toegestane tekens."
"The page URL key cannot be made of only numbers.","De pagina URL sleutel kan niet uitsluitend uit cijfers bestaan."
"Please rename the folder using only letters, numbers, underscores and dashes.","Hernoem de map waarbij u enkel letters, cijfers, onderstrepingstekens en streepjes gebruikt."
"We found a directory with the same name. Please try another folder name.","We vonden een map met dezelfde naam. Probeer een andere map naam."
"We cannot create a new directory.","We kunnen geen nieuwe map aanmaken."
"We cannot delete directory %1.","We kunnen map %1 niet verwijderen."
"We can't upload the file right now.","Wij kunnen het bestand nu niet uploaden."
"We can't delete root directory %1 right now.","Wij kunnen de hoofddirectory %1 nu niet verwijderen."
"Privacy and Cookie Policy","Privacy en Cookie Policy"
"Could not create a directory.","Kon geen map aanmaken."
"Are you sure you want to delete a %1 record?","Weet u zeker dat u een %1 record wilt verwijderen?"
"No files found","Geen bestanden gevonden"
"Media Gallery",Mediagallerij
"Content Management",CMS-instellingen
"CMS Home Page","CMS homepagina"
"CMS No Route Page","CMS-pagina > Pagina niet gevonden"
"CMS No Cookies Page","CMS geen Cookies pagina"
"Show Breadcrumbs for CMS Pages","Kruimelpad tonen voor CMS-pagina's"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"Redirect to CMS-page if Cookies are Disabled","Redirect naar de CMS-page als de Cookies zijn uitgeschakeld"
"Show Notice if JavaScript is Disabled","Waarschuw als javascript is uitgeschakeld"
"Show Notice if Local Storage is Disabled","Waarschuw als lokale opslag is uitgeschakeld"
"WYSIWYG Options","WYSIWYG Opties"
"Enable WYSIWYG Editor","WYSWIGY editor activeren"
"CMS Page Link","CMS-pagina link"
"Link to a CMS Page","Link naar een CMS-pagina"
"CMS Page",CMS-pagina
"Select Page...","Selecteer pagina..."
"If empty, the Page Title will be used","Indien leeg, zal de paginatitel gebruikt worden"
"CMS Static Block","CMS Statisch Blok"
"Contents of a Static Block","Inhoud van statisch blok"
Block,Blokkeer
"Select Block...","Selecteer blok..."
"CMS Static Block Default Template","CMS Statisch Block > Standaard sjabloon"
"Are you sure you want to delete selected items?","Weet u zeker dat u de geselecteerde items wilt verwijderen?"
"Page Information",Paginagegevens
"Custom Design Update","Aangepaste ontwerp Update"
"New Layout","Nieuwe lay-out"
"Custom design from","Aangepast ontwerp van"
"Custom design to","Aangepast ontwerp tot"
"Custom Theme","Eigen Thema"
"Custom Layout","Custom lay-out"
"Edit Block '%1'","Blok '%1' bewerken"
"Edit Page '%1'","Pagina '%1' bewerken"
"Page Layout","Pagina lay-out"
"Custom Design From","Custom design vanaf datum"
"Custom Design To","Custom design tot datum"
"Custom Layout Update XML","Custom XML lay-out update"
"Relative to Web Site Base URL","Ten opzichte van de base-URL"
"Page Status","Pagina status"
"Meta Data",Meta-gegevens
"You saved this page.","U heeft deze pagina opgeslagen."
"Could not create directory.","Kan map niet maken."
"Delete ${ $.$data.title }","Verwijder ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Weet u zeker dat u een ${ $.$data.title } record wilt verwijderen?"
"Delete ""${ $.$data.title }""","Verwijder ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Weet u zeker dat u een ""${ $.$data.title }"" record wilt verwijderen?"
"Are you sure you wan't to delete selected items?","Weet u zeker dat u de geselecteerde producten wilt verwijderen?"
"Are you sure you wan't to delete a %1 record?","Ben u zeker dat u een ""%1"" rij wilt verwijderen?"
"Delete Selected","Selectie verwijderen"
"Create Folder","Map toevoegen"
"You duplicated the block.","U heeft het blok gedupliceerd."
"You duplicated the page.","U heeft de pagina gedupliceerd."
"The CMS page with the ""%1"" ID doesn't exist.","CMS pagina met id ""%1"" bestaat niet."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","De URL van de pagina kan geen hoofdletters of niet-toegestane symbolen bevatten. Verwijder de letters en symbolen en probeer het opnieuw."
"The page URL key can't use only numbers. Add letters or words and try again.","De URL van de pagina mag niet alleen cijfers bevatten. Voeg letters of woorden toe en probeer het opnieuw."
"Upload Images","Upload afbeeldingen"
"Default Page Layout","Standaard pagina lay-out"
"Backup Log Details","Back-uplogboek Details"
"Requested system report has no data to output.","Aangevraagd systeemverslag heeft geen data om weer te geven."
"&copy; Magento Commerce Inc., %1","© Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Bent u zeker dat u het systeemverslag wilt verwijderen?"
"Go to Top","Ga naar het begin"
Report,Verslag
"System Report Information","Systeemverslag informatie"
"Requested system report has no data to display.","Aangevraagd systeemverslag heeft geen data om weer te geven."
"Output path %1 doesn't exist","Output path %1 bestaat niet"
"Unknown DB param: %1","Onbekende DB param: %1"
"Paths file already exists","Paden bestand bestaan al"
"Paths file cannot be created","Paden bestand kan niet worden aangemaakt"
Support,Ondersteuning
"Data Collector",Gegevensverzamelaarset
"The backup has been saved.","De back-up is opgeslagen."
"Failed to save backup with error: %1","Opslaan van de back-up mislukt met fout: %1"
"An error occurred while saving backup","Er is een fout opgetreden bij het opslaan van de backup"
"All processes should be complete","Alle processen moeten voltooid zijn"
"Wrong param id","Verkeerde param-id"
"The backup has been deleted.","De back-up is verwijderd."
"Cannot delete backup","Kan de back-up niet verwijderen"
"File does not exist","Bestand bestaat niet"
"Log Details",Loggegevens
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Er is een fout opgetreden tijdens massale verwijderin van datacollector back-ups. Controleer het logboek en probeer het opnieuw."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Nadat u uw selectie heeft gemaakt, klik op de ""Aanmaken"" knop. Oefen dan even geduld uit tijdens de systeem verslag generatie. Dit kan enkele minuten duren. U zal een melding ontvangen zodra deze stap is voltooid."
"Create System Report","Systeem rapport maken"
"Unable to find a system report to delete.","Kan geen systeemverslag vinden om te verwijderen."
"The system report has been deleted.","Het systeemverslag werd verwijderd."
"An error occurred while deleting the system report. Please review log and try again.","Er is een fout opgetreden tijdens het verwijderen van het systeemverslag. Controleer het fouten logboek en probeer opnieuw."
"Requested system report no longer exists.","Het opgevraagde systeemverslag bestaat niet meer."
"Unable to read system report data to display.","Kan het systeemverslag niet lezen en dus ook niet weergeven."
"No groups were specified to generate system report.","Er werden geen groepen opgegeven om een systeemverslag te genereren."
"The system report has been generated.","Het systeemverslag is gegenereerd."
"An error occurred while the system report was being created. Please review the log and try again.","Er is een fout opgetreden bij het maken van het systeemverslag. Controleer het logboek en probeer het opnieuw."
"System Reports","Systeem rapporten"
"An error occurred during mass deletion of system reports. Please review log and try again.","Er is een fout opgetreden tijdens het massa verwijderen van systeem rapportages. Controleer het logboek en probeer het opnieuw."
"Utility %1 not found","Hulpprogramma voor %1 niet gevonden"
"Unknown utility: %1","Onbekende nut: %1"
"Cannot set root directory.","Kan root-directory niet instellen."
"Support Module doesn't support %s operation system","Ondersteuningsmodule ondersteund geen %s besturingssysteem"
"Unable to create backup due to php exec function is disabled","Kan geen backup aanmaken omdat de php exec functie is uitgeschakeld"
Incomplete,Onvolledig
"Directory %s should have writable & readable permissions","Map %s moeten schrijf- en leesbevoegdheden hebben"
"Processing ...","Verwerken ..."
(now),(nu)
"[%1 minutes ago]","[%1 minuten geleden]"
"[%1 hours ago]","[%1 uren geleden]"
"[%1 days ago]","[%1 dagen geleden]"
"[%1 weeks ago]","[%1 weken geleden]"
"[%1 months ago]","[%1 maanden geleden]"
"[%1 years ago]","[%1 jaar geleden]"
"And more...","En meer..."
"Column %1","Kolom %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Voorbereiden van systeemverslag gegevens: Enkele rij mode werd gededecteerd maar gegevens kunnen onvolledig zijn."
"All Eav Attributes","Alle kenmerken van de Eav"
"Category Eav Attributes","Categorie Eav kenmerken"
"Customer Address Eav Attributes","Klantadres EAV attributen"
"Customer Eav Attributes","Klant Eav kenmerken"
"Entity Types","Typen eenheden"
"Attribute Model",Attribuutmodel
"Main Table",Hoofdtabel
"Additional Attribute Table","Extra kenmerk tabel"
"New Eav Attributes","Nieuwe kenmerken van de Eav"
"Product Eav Attributes","Eav productattributen"
"Rma Item Eav Attributes","RMA producte EAV attributen"
"User Defined Eav Attributes","Door de gebruiker gedefinieerde Eav kenmerken"
"Data from app/etc/env.php","Gegevens van app/etc/env.php"
Group,Groep
"Is Gateway",Gateway
"For Checkout","Voor afhandeling"
"For Multishipping","Voor Multishipping"
"Partial Capture Online","Gedeeltelijke online vastleggen"
